,scientificName,redlistCategory,populationTrend
5031,Eleutherodactylus schmidti,Critically Endangered,Decreasing
5032,Eleutherodactylus schwartzi,Endangered,Decreasing
5033,Eleutherodactylus sciagraphus,Critically Endangered,Unknown
5034,Eleutherodactylus simulans,Endangered,Decreasing
5035,Pristimantis sobetes,Endangered,Decreasing
5036,Eleutherodactylus tetajulia,Critically Endangered,Decreasing
5037,Eleutherodactylus thomasi,Endangered,Decreasing
5038,Eleutherodactylus thorectes,Critically Endangered,Unknown
5039,Pristimantis thymalopsoides,Endangered,Decreasing
5040,Eupsophus contulmoensis,Endangered,Unknown
5041,Eupsophus nahuelbutensis,Endangered,Stable
5042,Eleutherodactylus toa,Endangered,Decreasing
5043,Pristimantis truebae,Endangered,Decreasing
5044,Eleutherodactylus turquinensis,Critically Endangered,Decreasing
5045,Eleutherodactylus varians,Vulnerable,Decreasing
5046,Eleutherodactylus ventrilineatus,Critically Endangered,Unknown
5047,Pristimantis vertebralis,Vulnerable,Decreasing
5048,Pristimantis vidua,Endangered,Decreasing
5049,Eleutherodactylus warreni,Critically Endangered,Unknown
5050,Eleutherodactylus wetmorei,Vulnerable,Decreasing
5051,Eleutherodactylus zeus,Endangered,Decreasing
5052,Eleutherodactylus zugi,Endangered,Decreasing
5053,Euparkerella robusta,Vulnerable,Decreasing
5054,Euparkerella tridactyla,Vulnerable,Stable
5055,Lynchius simmonsi,Vulnerable,Stable
5056,Cryptazeca kobelti,Endangered,
5057,Proceratophrys moratoi,Critically Endangered,Decreasing
5058,Physalaemus soaresi,Endangered,Decreasing
5059,Physalaemus atlanticus,Vulnerable,Unknown
5060,Telmatobius vellardi,Critically Endangered,Decreasing
5061,Philoria pughi,Endangered,Decreasing
5062,Philoria richmondensis,Endangered,Decreasing
5063,Telmatobius cirrhacelis,Critically Endangered,Decreasing
5064,Telmatobius niger,Critically Endangered,Decreasing
5065,Cryptomastix magnidentata,Vulnerable,
5066,Cryptosaccus asturiensis,Vulnerable,Stable
5067,Scutiger maculatus,Critically Endangered,Decreasing
5068,Scutiger nepalensis,Vulnerable,Decreasing
5069,Scutiger ningshanensis,Endangered,Decreasing
5070,Leptobrachium echinatum,Endangered,Decreasing
5071,Megophrys brachykolos,Endangered,Decreasing
5072,Megophrys gigantica,Vulnerable,Decreasing
5073,Cophixalus monticola,Endangered,Unknown
5074,Cophixalus aenigma,Vulnerable,Stable
5075,Dasypops schirchi,Vulnerable,Decreasing
5076,Microhyla sholigari,Endangered,Decreasing
5077,Nasikabatrachus sahyadrensis,Endangered,Decreasing
5078,Pelobates varaldii,Endangered,Decreasing
5079,Indirana brachytarsus,Endangered,Decreasing
5080,Indirana diplosticta,Endangered,Decreasing
5081,Indirana gundia,Critically Endangered,Decreasing
5082,Micrixalus gadgili,Endangered,Decreasing
5083,Indirana leithii,Vulnerable,Decreasing
5084,Ctenophila vorticella,Vulnerable,
5085,Indirana leptodactyla,Endangered,Decreasing
5086,Micrixalus kottigeharensis,Critically Endangered,Decreasing
5087,Indirana phrynoderma,Critically Endangered,Decreasing
5088,Micrixalus nudis,Vulnerable,Decreasing
5089,Micrixalus phyllophilus,Vulnerable,Decreasing
5090,Minervarya sahyadris,Endangered,Decreasing
5091,Nyctibatrachus aliciae,Endangered,Decreasing
5092,Nyctibatrachus beddomii,Endangered,Decreasing
5093,Nyctibatrachus deccanensis,Vulnerable,Decreasing
5094,Nyctibatrachus humayuni,Vulnerable,Decreasing
5095,Nyctibatrachus karnatakaensis,Endangered,Unknown
5096,Limnonectes heinrichi,Vulnerable,Decreasing
5097,Ctenophila caldwelli,Endangered,
5098,Ctenophila setiliris,Endangered,
5099,Nyctibatrachus major,Vulnerable,Decreasing
5100,Nyctibatrachus minor,Endangered,Decreasing
5101,Nyctibatrachus sanctipalustris,Endangered,Decreasing
5102,Nyctibatrachus vasanthi,Endangered,Decreasing
5103,Ingerana borealis,Vulnerable,Decreasing
5104,Pterorana khare,Vulnerable,Decreasing
5105,Quasipaa boulengeri,Endangered,Decreasing
5106,Nanorana liui,Vulnerable,Decreasing
5107,Nanorana minica,Vulnerable,Decreasing
5108,Quasipaa robertingeri,Endangered,Decreasing
5109,Nanorana rostandi,Vulnerable,Decreasing
5110,Quasipaa spinosa,Vulnerable,Decreasing
5111,Nanorana yunnanensis,Endangered,Decreasing
5112,Ingerana charlesdarwini,Critically Endangered,Decreasing
5113,Lithobates chiricahuensis,Vulnerable,Decreasing
5114,Pelophylax chosenicus,Vulnerable,Decreasing
5115,Lithobates okaloosae,Vulnerable,Unknown
5116,Odorrana junlianensis,Vulnerable,Decreasing
5117,Rana longicrus,Vulnerable,Decreasing
5118,Lithobates sevosus,Critically Endangered,Decreasing
5119,Lithobates tarahumarae,Vulnerable,Decreasing
5120,Pelophylax tenggerensis,Endangered,Decreasing
5121,Theloderma moloch,Vulnerable,Decreasing
5122,Pseudophilautus pleurotaenia,Endangered,Decreasing
5123,Pseudophilautus asankai,Endangered,Decreasing
5124,Pseudophilautus reticulatus,Endangered,Decreasing
5125,Raorchestes bombayensis,Vulnerable,Decreasing
5126,Raorchestes sanctisilvaticus,Critically Endangered,Decreasing
5127,Raorchestes chalazodes,Critically Endangered,Decreasing
5128,Raorchestes charius,Endangered,Decreasing
5129,Philautus garo,Vulnerable,Decreasing
5130,Raorchestes glandulosus,Vulnerable,Decreasing
5131,Raorchestes griet,Critically Endangered,Decreasing
5132,Pseudophilautus macropus,Critically Endangered,Decreasing
5133,Pseudophilautus schmarda,Endangered,Decreasing
5134,Raorchestes shillongensis,Critically Endangered,Decreasing
5135,Raorchestes signatus,Endangered,Decreasing
5136,Raorchestes graminirupes,Vulnerable,Stable
5137,Pseudophilautus amboli,Critically Endangered,Decreasing
5138,Raorchestes dubois,Vulnerable,Stable
5139,Raorchestes munnarensis,Critically Endangered,Decreasing
5140,Raorchestes ponmudi,Critically Endangered,Decreasing
5141,Raorchestes bobingeri,Vulnerable,Stable
5142,Polypedates insularis,Endangered,Unknown
5143,Zhangixalus arvalis,Endangered,Decreasing
5144,Zhangixalus aurantiventris,Endangered,Decreasing
5145,Rhacophorus lateralis,Endangered,Decreasing
5146,Batrachuperus karlschmidti,Vulnerable,Decreasing
5147,Batrachuperus pinchonii,Vulnerable,Decreasing
5148,Rhacophorus pseudomalabaricus,Critically Endangered,Decreasing
5149,Hynobius amjiensis,Critically Endangered,Decreasing
5150,Hynobius arisanensis,Vulnerable,Decreasing
5151,Ghatixalus variabilis,Endangered,Stable
5152,Batrachoseps regius,Vulnerable,Stable
5153,Batrachoseps wrighti,Vulnerable,Decreasing
5154,Bolitoglossa chica,Vulnerable,Decreasing
5155,Eurycea chisholmensis,Vulnerable,Unknown
5156,Eurycea junaluska,Vulnerable,Stable
5157,Eurycea latitans,Vulnerable,Decreasing
5158,Eurycea waterlooensis,Vulnerable,Unknown
5159,Gyrinophilus gulolineatus,Endangered,Decreasing
5160,Gyrinophilus palleucus,Vulnerable,Decreasing
5161,Gyrinophilus subterraneus,Endangered,Unknown
5162,Eurycea wallacei,Vulnerable,Unknown
5163,Eurycea naufragia,Endangered,Decreasing
5164,Eurycea neotenes,Vulnerable,Unknown
5165,Eurycea tonkawae,Endangered,Decreasing
5166,Plethodon welleri,Endangered,Decreasing
5167,Plethodon amplus,Vulnerable,Unknown
5168,Plethodon cheoah,Vulnerable,Stable
5169,Plethodon meridianus,Vulnerable,Stable
5170,Plethodon petraeus,Vulnerable,Stable
5171,Plethodon shermani,Vulnerable,Stable
5172,Pleurodeles poireti,Endangered,Decreasing
5173,Salamandra algira,Vulnerable,Decreasing
5174,Necturus alabamensis,Endangered,Decreasing
5175,Rhyacotriton olympicus,Vulnerable,Decreasing
5176,Echinotriton chinhaiensis,Critically Endangered,Decreasing
5177,Notophthalmus meridionalis,Endangered,Decreasing
5178,Paramesotriton guangxiensis,Endangered,Decreasing
5179,Cupedora nottensis,Vulnerable,
5180,Atoconeura aethiopica,Vulnerable,Decreasing
5181,Cupedora evandaleana,Endangered,
5182,Progomphus tennesseni,Endangered,Unknown
5183,Tetrathemis yerburii,Endangered,Unknown
5184,Crenigomphus abyssinicus,Vulnerable,Unknown
5185,Crenigomphus denticulatus,Vulnerable,Unknown
5186,Elattoneura pasquinii,Vulnerable,Unknown
5187,Curassanthura bermudensis,Critically Endangered,
5188,Ceylonosticta adami,Critically Endangered,Unknown
5189,Ceylonosticta austeni,Critically Endangered,Unknown
5190,Ceylonosticta hilaris,Critically Endangered,Unknown
5191,Ceylonosticta montana,Critically Endangered,Unknown
5192,Ceylonosticta submontana,Critically Endangered,Unknown
5193,Elattoneura leucostigma,Critically Endangered,Unknown
5194,Anisogomphus ceylonicus,Critically Endangered,Unknown
5195,Heliogomphus lyratus,Critically Endangered,Unknown
5196,Heliogomphus nietneri,Critically Endangered,Unknown
5197,Macromia flinti,Critically Endangered,Unknown
5198,Hypolestes clara,Endangered,Unknown
5199,Hypolestes trinitatis,Vulnerable,Unknown
5200,Phyllopetalia altarensis,Endangered,Unknown
5201,Phyllopetalia excrescens,Vulnerable,Unknown
5202,Pseudagrion guichardi,Vulnerable,Unknown
5203,Risiocnemis seidenschwarzi,Critically Endangered,Unknown
5204,Sciotropis cyclanthorum,Vulnerable,Unknown
5205,Sinhalestes orientalis,Critically Endangered,Unknown
5206,Allocnemis montana,Endangered,Unknown
5207,Cyanophrys bertha,Vulnerable,
5208,Micromacromia miraculosa,Critically Endangered,Unknown
5209,Nepogomphoides stuhlmanni,Vulnerable,Unknown
5210,Proplatycnemis pembipes,Critically Endangered,Unknown
5211,Palaemnema baltodanoi,Endangered,Unknown
5212,Protoneura caligata,Endangered,Unknown
5213,Progomphus zephyrus,Endangered,Unknown
5214,Cyclogomphus gynostylus,Vulnerable,Unknown
5215,Elattoneura caesia,Endangered,Unknown
5216,Gomphidia pearsoni,Endangered,Unknown
5217,Hylaeothemis fruhstorferi,Endangered,Unknown
5218,Macrogomphus lankanensis,Vulnerable,Unknown
5219,Microgomphus wijaya,Endangered,Unknown
5220,Gomphus lucasii,Vulnerable,Decreasing
5221,Cycloptilum irregularis,Vulnerable,
5222,Enallagma truncatum,Vulnerable,Unknown
5223,Epigomphus corniculatus,Endangered,Unknown
5224,Epigomphus donnellyi,Endangered,Unknown
5225,Epigomphus flinti,Endangered,Unknown
5226,Epigomphus houghtoni,Endangered,Unknown
5227,Epigomphus maya,Endangered,Unknown
5228,Epigomphus sulcatistyla,Endangered,Unknown
5229,Epigomphus westfalli,Endangered,Unknown
5230,Notogomphus cottarellii,Endangered,Unknown
5231,Notogomphus ruppeli,Endangered,Unknown
5232,Cyclura collei,Critically Endangered,Unknown
5233,Pseudagrion kaffinum,Vulnerable,Unknown
5234,Cyclura nubila,Vulnerable,
5235,Orthetrum poecilops,Vulnerable,Decreasing
5236,Aplocheilichthys usanguensis,Vulnerable,Unknown
5237,Barbatula samantica,Endangered,Decreasing
5238,Iberocypris palaciosi,Critically Endangered,Unknown
5239,Aplocheilichthys lacustris,Vulnerable,Unknown
5240,Oreochromis latilabris,Vulnerable,Unknown
5241,Chiloglanis rukwaensis,Vulnerable,Unknown
5242,Barbus sp. nov. 'Pangani',Vulnerable,Unknown
5243,Aplocheilichthys sp. nov. 'Baringo',Critically Endangered,Decreasing
5244,Cyclura rileyi,Endangered,
5245,Zaireichthys wamiensis,Vulnerable,Unknown
5246,Oreochromis alcalicus,Endangered,Decreasing
5247,Haplochromis nubilus,Vulnerable,Unknown
5248,Iberochondrostoma oretanum,Critically Endangered,Decreasing
5249,Cobitis vettonica,Endangered,Decreasing
5250,Cyclura cychlura,Vulnerable,Decreasing
5251,Orthochromis luichensis,Vulnerable,Unknown
5252,Chiloglanis kalambo,Vulnerable,Unknown
5253,Orthochromis rugufuensis,Vulnerable,Unknown
5254,Iberocypris alburnoides,Vulnerable,Stable
5255,Ctenochromis aff. pectoralis,Vulnerable,Unknown
5256,Labeo sp. nov. 'Baomo',Vulnerable,Unknown
5257,Haplochromis aeneocolor,Vulnerable,Unknown
5258,Delminichthys krbavensis,Critically Endangered,Unknown
5259,Chelaethiops rukwaensis,Vulnerable,Decreasing
5260,Alcolapia alcalicus,Endangered,Unknown
5261,Alcolapia grahami,Vulnerable,Unknown
5262,Haplochromis microdon,Critically Endangered,Decreasing
5263,Haplochromis melanopterus,Vulnerable,Unknown
5264,Haplochromis erythromaculatus,Endangered,Decreasing
5265,Haplochromis petronius,Vulnerable,Unknown
5266,Haplochromis guiarti,Critically Endangered,Decreasing
5267,Haplochromis howesi,Vulnerable,Unknown
5268,Haplochromis victorianus,Critically Endangered,Decreasing
5269,Haplochromis argenteus,Critically Endangered,Decreasing
5270,Lamprologus kungweensis,Critically Endangered,Unknown
5271,Simochromis marginatus,Vulnerable,Unknown
5272,Simochromis margaretae,Vulnerable,Unknown
5273,Neolamprologus schreyeni,Vulnerable,Unknown
5274,Neolamprologus christyi,Vulnerable,Unknown
5275,Oreochromis andersonii,Vulnerable,Decreasing
5276,Nemacheilus dori,Critically Endangered,Stable
5277,Oreochromis jipe,Critically Endangered,Decreasing
5278,Oreochromis amphimelas,Endangered,Decreasing
5279,Oreochromis rukwaensis,Vulnerable,Decreasing
5280,Oreochromis karomo,Critically Endangered,Decreasing
5281,Oreochromis hunteri,Critically Endangered,Decreasing
5282,Telestes beoticus,Endangered,Decreasing
5283,Orthochromis kasuluensis,Endangered,Unknown
5284,Orthochromis uvinzae,Critically Endangered,Unknown
5285,Orthochromis malagaraziensis,Vulnerable,Unknown
5286,Orthochromis mazimeroensis,Endangered,Unknown
5287,Orthochromis rubrolabialis,Endangered,Unknown
5288,Orthochromis mosoensis,Endangered,Unknown
5289,Haplochromis chromogynos,Vulnerable,Increasing
5290,Haplochromis plagiodon,Vulnerable,Increasing
5291,Haplochromis aelocephalus,Critically Endangered,Decreasing
5292,Haplochromis sauvagei,Vulnerable,Unknown
5293,Delminichthys jadovensis,Critically Endangered,Unknown
5294,Phoxinellus dalmaticus,Critically Endangered,Unknown
5295,Tropheus duboisi,Vulnerable,Unknown
5296,Labeo sp. nov. 'Mzima',Vulnerable,Unknown
5297,Marcusenius sp. nov. 'Malindi',Vulnerable,Unknown
5298,Xenotilapia burtoni,Vulnerable,Unknown
5299,Iberochondrostoma lusitanicum,Critically Endangered,Decreasing
5300,Distichodus petersii,Vulnerable,Decreasing
5301,Haplochromis heusinkveldi,Critically Endangered,Decreasing
5302,Barbus alluaudi,Vulnerable,Unknown
5303,Chiloglanis asymetricaudalis,Endangered,Unknown
5304,Varicorhinus ruwenzori,Vulnerable,Unknown
5305,Pseudochondrostoma duriense,Vulnerable,Stable
5306,Squalius keadicus,Endangered,Decreasing
5307,Rhabdalestes leleupi,Critically Endangered,Decreasing
5308,Marcusenius sp. nov. 'Turkwell',Vulnerable,Unknown
5309,Clariallabes mutsindoziensis,Endangered,Unknown
5310,Cobitis zanandreai,Vulnerable,Decreasing
5311,Chiloglanis ruziziensis,Critically Endangered,Unknown
5312,Luciobarbus graecus,Endangered,Unknown
5313,Leptopanchax splendens,Vulnerable,
5314,Synodontis macrops,Vulnerable,Unknown
5315,Phoxinellus pseudalepidotus,Vulnerable,Unknown
5316,Parachondrostoma turiense,Endangered,Decreasing
5317,Squalius lucumonis,Endangered,Decreasing
5318,Cobitis dalmatina,Vulnerable,Stable
5319,Simpsonichthys boitonei,Vulnerable,
5320,Lates angustifrons,Endangered,Decreasing
5321,Lates macrophthalmus,Endangered,Decreasing
5322,Lates mariae,Vulnerable,Decreasing
5323,Lates microlepis,Endangered,Decreasing
5324,Cobitis punctilineata,Vulnerable,Unknown
5325,Ophthalmolebias constanciae,Vulnerable,
5326,Haplochromis desfontainii,Endangered,Unknown
5327,Nemacheilus pantheroides,Endangered,Decreasing
5328,Squalius torgalensis,Endangered,Unknown
5329,Rutilus prespensis,Vulnerable,Stable
5330,Haplochromis piceatus,Vulnerable,Unknown
5331,Kneria ruaha,Vulnerable,Unknown
5332,Parakneria tanzaniae,Vulnerable,Unknown
5333,Labeo percivali,Vulnerable,Unknown
5334,Haplochromis sp. nov. 'Amboseli',Critically Endangered,Unknown
5335,Aplocheilichthys omoculatus,Vulnerable,Unknown
5336,Haplochromis katavi,Vulnerable,Unknown
5337,Cobitis arachthosensis,Endangered,Unknown
5338,Oreochromis ndalalani,Vulnerable,Unknown
5339,Scardinius scardafa,Critically Endangered,Unknown
5340,Cobitis narentana,Vulnerable,Unknown
5341,Chiloglanis mbozi,Vulnerable,Unknown
5342,Salmo peristericus,Endangered,Stable
5343,Apricaphanius baeticus,Endangered,Decreasing
5344,Barbatula eregliensis,Critically Endangered,Decreasing
5345,Pelasgus epiroticus,Critically Endangered,Unknown
5346,Pelasgus prespensis,Endangered,Decreasing
5347,Varicorhinus leleupanus,Vulnerable,Unknown
5348,Kneria uluguru,Vulnerable,Unknown
5349,Pelasgus laconicus,Critically Endangered,Decreasing
5350,Labeo trigliceps,Vulnerable,Unknown
5351,Oxynoemacheilus pindus,Vulnerable,Unknown
5352,Alburnus belvica,Vulnerable,Stable
5353,Squalius microlepis,Endangered,Unknown
5354,Alosa vistonica,Critically Endangered,Unknown
5355,Telestes fontinalis,Critically Endangered,Decreasing
5356,Hucho perryi,Critically Endangered,Decreasing
5357,Semicossyphus pulcher,Vulnerable,Decreasing
5358,Squalius aradensis,Vulnerable,Unknown
5359,Romanogobio benacensis,Endangered,Decreasing
5360,Squalius svallize,Vulnerable,Unknown
5361,Oxynoemacheilus simavicus,Critically Endangered,Decreasing
5362,Aulopyge huegelii,Endangered,Decreasing
5363,Telestes turskyi,Critically Endangered,Unknown
5364,Barbatula tschaiyssuensis,Endangered,Decreasing
5365,Salaria economidisi,Critically Endangered,Unknown
5366,Pseudophoxinus punicus,Endangered,Decreasing
5367,Parachondrostoma arrigonis,Critically Endangered,Decreasing
5368,Nemacheilus jordanicus,Endangered,Decreasing
5369,Telestes polylepis,Critically Endangered,Unknown
5370,Nemacheilus sp. nov.,Endangered,Unknown
5371,Acanthodactylus mechriguensis,Critically Endangered,Decreasing
5372,Acanthodactylus pardalis,Vulnerable,Decreasing
5373,Rostroraja alba,Endangered,Decreasing
5374,Chalcides ebneri,Critically Endangered,Decreasing
5375,Chalcides guentheri,Vulnerable,Decreasing
5376,Chalcides manueli,Vulnerable,Decreasing
5377,Chalcides mauritanicus,Endangered,Decreasing
5378,Chalcides simonyi,Endangered,Decreasing
5379,Lamprophis geometricus,Endangered,Decreasing
5380,Mediodactylus amictopholis,Endangered,Decreasing
5381,Lycognathophis seychellensis,Endangered,Decreasing
5382,Ailuronyx trachygaster,Vulnerable,Stable
5383,Janetaescincus braueri,Endangered,Decreasing
5384,Janetaescincus veseyfitzgeraldi,Endangered,Decreasing
5385,Trachylepis wrightii,Vulnerable,Stable
5386,Hierophis cypriensis,Endangered,Decreasing
5387,Montivipera bornmuelleri,Endangered,Decreasing
5388,Iberolacerta monticola,Vulnerable,Decreasing
5389,Acanthodactylus ahmaddisii,Endangered,Decreasing
5390,Acanthodactylus beershebensis,Critically Endangered,Decreasing
5391,Acanthodactylus blanci,Endangered,Decreasing
5392,Acanthodactylus schreiberi,Endangered,Decreasing
5393,Acanthodactylus spinicauda,Critically Endangered,Decreasing
5394,Gallotia auaritae,Critically Endangered,Unknown
5395,Gallotia bravoana,Critically Endangered,Increasing
5396,Psammodromus microdactylus,Endangered,Decreasing
5397,Gallotia intermedia,Critically Endangered,Increasing
5398,Iberolacerta aurelioi,Endangered,Decreasing
5399,Iberolacerta cyreni,Endangered,Decreasing
5400,Telescopus hoogstraali,Endangered,Decreasing
5401,Iberolacerta martinezricai,Critically Endangered,Decreasing
5402,Trapelus savignii,Vulnerable,Decreasing
5403,Parvilacerta fraasii,Endangered,Decreasing
5404,Phoenicolacerta kulzeri,Endangered,Decreasing
5405,Vipera latastei,Vulnerable,Decreasing
5406,Dinarolacerta mosorensis,Vulnerable,Decreasing
5407,Podarcis carbonelli,Endangered,Decreasing
5408,Podarcis gaigeae,Vulnerable,Unknown
5409,Podarcis raffonei,Critically Endangered,Decreasing
5410,Saurodactylus fasciatus,Vulnerable,Decreasing
5411,Ceylonthelphusa alpina,Endangered,Unknown
5412,Ceylonthelphusa armata,Endangered,Unknown
5413,Ceylonthelphusa callista,Critically Endangered,Unknown
5414,Ceylonthelphusa diva,Endangered,Unknown
5415,Ceylonthelphusa durrelli,Critically Endangered,Unknown
5416,Ceylonthelphusa kotagama,Critically Endangered,Unknown
5417,Ceylonthelphusa nata,Critically Endangered,Unknown
5418,Ceylonthelphusa orthos,Critically Endangered,Unknown
5419,Ceylonthelphusa savitriae,Critically Endangered,Unknown
5420,Ceylonthelphusa sanguinea,Critically Endangered,Unknown
5421,Clinothelphusa kakoota,Critically Endangered,Unknown
5422,Mahatha helaya,Critically Endangered,Unknown
5423,Mahatha iora,Critically Endangered,Unknown
5424,Mahatha lacuna,Critically Endangered,Decreasing
5425,Mahatha regina,Critically Endangered,Unknown
5426,Cyprinus micristius,Critically Endangered,Unknown
5427,Oziothelphusa dakuna,Endangered,Unknown
5428,Oziothelphusa gallicola,Endangered,Unknown
5429,Oziothelphusa hippocastanum,Vulnerable,Stable
5430,Oziothelphusa intuta,Critically Endangered,Unknown
5431,Oziothelphusa ritigala,Vulnerable,Unknown
5432,Oziothelphusa stricta,Vulnerable,Stable
5433,Pastilla dacuna,Endangered,Unknown
5434,Perbrinckia enodis,Critically Endangered,Unknown
5435,Perbrinckia cracens,Critically Endangered,Unknown
5436,Perbrinckia fenestra,Vulnerable,Unknown
5437,Perbrinckia fido,Critically Endangered,Unknown
5438,Perbrinckia gabadagei,Critically Endangered,Decreasing
5439,Perbrinckia glabra,Critically Endangered,Unknown
5440,Perbrinckia integra,Vulnerable,Stable
5441,Perbrinckia morayensis,Critically Endangered,Unknown
5442,Ceylonthelphusa nana,Critically Endangered,Unknown
5443,Perbrinckia punctata,Critically Endangered,Unknown
5444,Perbrinckia quadratus,Critically Endangered,Unknown
5445,Perbrinckia rosae,Critically Endangered,Unknown
5446,Perbrinckia scitula,Critically Endangered,Unknown
5447,Spiralothelphusa fernandoi,Endangered,Unknown
5448,Spiralothelphusa parvula,Endangered,Unknown
5449,Oziothelphusa kodagoda,Critically Endangered,Unknown
5450,Oziothelphusa populosa,Endangered,Unknown
5451,Haliotis kamtschatkana,Endangered,Stable
5452,Cycloramphus acangatan,Vulnerable,Stable
5453,Rana tavasensis,Endangered,Decreasing
5454,Cyprinus carpio,Vulnerable,Unknown
5455,Pseudophilautus hoffmanni,Endangered,Decreasing
5456,Raorchestes nerostagona,Endangered,Decreasing
5457,Cyprogenia stegaria,Critically Endangered,
5458,Plethodon asupak,Vulnerable,Unknown
5459,Plethodon sherando,Vulnerable,Unknown
5460,Lyciasalamandra atifi,Endangered,Stable
5461,Lyciasalamandra fazilae,Endangered,Stable
5462,Lyciasalamandra flavimembris,Endangered,Decreasing
5463,Lyciasalamandra helverseni,Vulnerable,Stable
5464,Chlorogomphus brevistigma,Vulnerable,Unknown
5465,Daihinibaenetes arizonensis,Vulnerable,
5466,Damochlora millepunctata,Endangered,
5467,Setobaudinia spina,Vulnerable,
5468,Dancea rodriguezensis,Endangered,
5469,Daphnia jollyi,Vulnerable,
5470,Daphnia nivalis,Vulnerable,
5471,Daphnia occidentalis,Vulnerable,
5472,Daphnia coronata,Vulnerable,
5473,Dasyprocta mexicana,Critically Endangered,Decreasing
5474,Deinacrida fallai,Vulnerable,
5475,Deinacrida heteracantha,Vulnerable,
5476,Deinacrida rugosa,Vulnerable,
5477,Austrolebias cinereus,Critically Endangered,Unknown
5478,Calopteryx hyalina,Endangered,Decreasing
5479,Syncordulia venator,Vulnerable,Stable
5480,Syncordulia gracilis,Vulnerable,Stable
5481,Neolebias lozii,Critically Endangered,Unknown
5482,Rossomyrmex proformicarum,Vulnerable,
5483,Barbus sp. nov. 'Banhine',Critically Endangered,Unknown
5484,Barbus sp. nov. 'Chimanimani',Vulnerable,Unknown
5485,Aplocheilichthys sp. nov. 'Rovuma',Vulnerable,Unknown
5486,Oreochromis macrochir,Vulnerable,Unknown
5487,Oreochromis mortimeri,Critically Endangered,Decreasing
5488,Tilapia guinasana,Critically Endangered,Unknown
5489,Clarias cavernicola,Critically Endangered,Unknown
5490,Tomichia cawstoni,Critically Endangered,Unknown
5491,Tomichia differens,Endangered,Unknown
5492,Tomichia natalensis,Critically Endangered,Unknown
5493,Tomichia tristis,Critically Endangered,Unknown
5494,Tomichia ventricosa,Endangered,Unknown
5495,Tomichia zwellendamensis,Endangered,Unknown
5496,Poecilotheria hanumavilasumica,Critically Endangered,Decreasing
5497,Poecilotheria metallica,Critically Endangered,Decreasing
5498,Poecilotheria miranda,Endangered,Decreasing
5499,Poecilotheria rufilata,Endangered,Decreasing
5500,Rhizopsammia wellingtoni,Critically Endangered,Decreasing
5501,Tubastraea floreana,Critically Endangered,Decreasing
5502,Camelus ferus,Critically Endangered,Decreasing
5503,Haploclastus kayi,Endangered,Decreasing
5504,Poecilotheria formosa,Endangered,Decreasing
5505,Poecilotheria striata,Vulnerable,Decreasing
5506,Pterapogon kauderni,Endangered,Decreasing
5507,Polycyathus isabela,Vulnerable,Unknown
5508,Abronia graminea,Endangered,Decreasing
5509,Abronia martindelcampoi,Endangered,Decreasing
5510,Abronia mixteca,Vulnerable,Decreasing
5511,Abronia oaxacae,Vulnerable,Decreasing
5512,Abronia taeniata,Vulnerable,Decreasing
5513,Barisia herrerae,Endangered,Decreasing
5514,Barisia rudicollis,Endangered,Stable
5515,Phelsuma antanosy,Critically Endangered,Decreasing
5516,Pseudoxyrhopus kely,Endangered,Decreasing
5517,Thrigmopoeus insignis,Vulnerable,Decreasing
5518,Abronia chiszari,Endangered,Decreasing
5519,Abronia deppii,Endangered,Decreasing
5520,Abronia fuscolabialis,Endangered,Decreasing
5521,Ficimia hardyi,Endangered,Decreasing
5522,Gerrhonotus parvus,Endangered,Decreasing
5523,Mesaspis juarezi,Endangered,Decreasing
5524,Ophisaurus ceroni,Endangered,Decreasing
5525,Anniella geronimensis,Endangered,Decreasing
5526,Adelophis copei,Vulnerable,Decreasing
5527,Chersodromus rubriventris,Endangered,Decreasing
5528,Geophis juliai,Vulnerable,Decreasing
5529,Rhadinaea fulvivittis,Vulnerable,Decreasing
5530,Heterodon simus,Vulnerable,Decreasing
5531,Masticophis anthonyi,Critically Endangered,Unknown
5532,Pituophis ruthveni,Endangered,Decreasing
5533,Rhadinaea marcellae,Endangered,Decreasing
5534,Rhadinaea montana,Endangered,Decreasing
5535,Thamnophis melanogaster,Endangered,Decreasing
5536,Thamnophis mendax,Endangered,Decreasing
5537,Thamnophis scaliger,Vulnerable,Decreasing
5538,Storeria hidalgoensis,Vulnerable,Decreasing
5539,Tantalophis discolor,Vulnerable,Decreasing
5540,Tantilla flavilineata,Endangered,Stable
5541,Tantilla oolitica,Endangered,Decreasing
5542,Tantilla shawi,Endangered,Unknown
5543,Crotaphytus antiquus,Endangered,Decreasing
5544,Crotaphytus reticulatus,Vulnerable,Decreasing
5545,Sceloporus arenicolus,Vulnerable,Decreasing
5546,Sceloporus chaneyi,Endangered,Decreasing
5547,Micrurus ephippifer,Vulnerable,Decreasing
5548,Sceloporus cyanostictus,Endangered,Decreasing
5549,Uma exsul,Endangered,Decreasing
5550,Sceloporus exsul,Critically Endangered,Decreasing
5551,Uta lowei,Vulnerable,Unknown
5552,Sceloporus goldmani,Endangered,Decreasing
5553,Uta palmeri,Vulnerable,Stable
5554,Uta tumidarostra,Vulnerable,Unknown
5555,Anolis barkeri,Vulnerable,Decreasing
5556,Anolis breedlovei,Endangered,Decreasing
5557,Sceloporus maculosus,Vulnerable,Unknown
5558,Sceloporus megalepidurus,Vulnerable,Decreasing
