,scientificName,redlistCategory,populationTrend
8065,Pristimantis museosus,Vulnerable,Decreasing
8066,Craugastor ranoides,Critically Endangered,Decreasing
8067,Craugastor rhyacobatrachus,Critically Endangered,Decreasing
8068,Pipa myersi,Endangered,Decreasing
8069,Lithobates vibicarius,Endangered,Decreasing
8070,Bolitoglossa anthracina,Endangered,Unknown
8071,Bolitoglossa cuna,Endangered,Decreasing
8072,Bolitoglossa marmorea,Endangered,Decreasing
8073,Bolitoglossa minutula,Endangered,Decreasing
8074,Bolitoglossa robusta,Vulnerable,Decreasing
8075,Bolitoglossa taylori,Endangered,Decreasing
8076,Oedipina alfaroi,Vulnerable,Decreasing
8077,Oedipina gracilis,Endangered,Decreasing
8078,Oedipina grandis,Endangered,Decreasing
8079,Oedipina maritima,Critically Endangered,Decreasing
8080,Craugastor tabasarae,Critically Endangered,Decreasing
8081,Bolitoglossa copia,Critically Endangered,Unknown
8082,Bolitoglossa magnifica,Endangered,Decreasing
8083,Ecnomiohyla rabborum,Critically Endangered,Decreasing
8084,Cryptotriton monzoni,Critically Endangered,Decreasing
8085,Rhinella chrysophora,Critically Endangered,Decreasing
8086,Incilius holdridgei,Critically Endangered,Unknown
8087,Duellmanohyla salvavida,Endangered,Decreasing
8088,Dryophytes bocourti,Critically Endangered,Decreasing
8089,Ptychohyla dendrophasma,Critically Endangered,Decreasing
8090,Isthmohyla insolita,Endangered,Decreasing
8091,Ecnomiohyla minera,Vulnerable,Decreasing
8092,Exerodonta perkinsi,Endangered,Decreasing
8093,Isthmohyla pictipes,Critically Endangered,Decreasing
8094,Plectrohyla chrysopleura,Critically Endangered,Decreasing
8095,Plectrohyla exquisita,Critically Endangered,Decreasing
8096,Plectrohyla glandulosa,Critically Endangered,Decreasing
8097,Plectrohyla pokomchi,Endangered,Decreasing
8098,Plectrohyla psiloderma,Endangered,Decreasing
8099,Plectrohyla quecchi,Endangered,Decreasing
8100,Plectrohyla tecunumani,Critically Endangered,Decreasing
8101,Plectrohyla teuchestes,Critically Endangered,Decreasing
8102,Ptychohyla macrotympanum,Vulnerable,Decreasing
8103,Atlantihyla panchoi,Critically Endangered,Decreasing
8104,Quilticohyla sanctaecrucis,Endangered,Decreasing
8105,Atlantihyla spinipollex,Endangered,Decreasing
8106,Craugastor adamastus,Critically Endangered,Unknown
8107,Craugastor andi,Critically Endangered,Decreasing
8108,Craugastor angelicus,Critically Endangered,Decreasing
8109,Craugastor aphanus,Endangered,Decreasing
8110,Craugastor bocourti,Endangered,Decreasing
8111,Craugastor cruzi,Critically Endangered,Decreasing
8112,Craugastor daryi,Endangered,Decreasing
8113,Craugastor emleni,Endangered,Decreasing
8114,Craugastor epochthidius,Critically Endangered,Decreasing
8115,Craugastor escoces,Critically Endangered,Decreasing
8116,Craugastor fleischmanni,Critically Endangered,Decreasing
8117,Craugastor inachus,Critically Endangered,Decreasing
