"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Megaptera novaeangliae","Humpback whale","Mammals","Endangered","Central America DPS"
"Megaptera novaeangliae","Humpback whale","Mammals","Endangered","Western North Pacific"
"Megaptera novaeangliae","Humpback whale","Mammals","Threatened","Mexico DPS"
"Melamprosops phaeosoma","Po`ouli (honeycreeper)","Birds","Endangered","Wherever found"
"Melanochelys tricarinata","Three-keeled Asian turtle","Reptiles","Endangered","Wherever found"
"Melanosuchus niger","Black caiman","Reptiles","Endangered","Wherever found"
"Menidia extensa","Waccamaw silverside","Fishes","Threatened","Wherever found"
"Mergus octosetaceus","Brazillian merganser","Birds","Endangered","Wherever found"
"Mesodon clarki nantahala","noonday snail","Snails","Threatened","Wherever found"
"Microhexura montivaga","Spruce-fir moss spider","Arachnids","Endangered","Wherever found"
"Microtus californicus scirpensis","Amargosa vole","Mammals","Endangered","Wherever found"
"Microtus pennsylvanicus dukecampbelli","Florida salt marsh vole","Mammals","Endangered","Wherever found"
"Mimizuku (=Otus) gurneyi","Giant scops owl","Birds","Endangered","Wherever found"
"Mimus graysoni","Socorro mockingbird","Birds","Endangered","Wherever found"
"Mitu mitu mitu","Razor-billed curassow","Birds","Endangered","Wherever found"
"Moapa coriacea","Moapa dace","Fishes","Endangered","Wherever found"
"Moho braccatus","Kauai `o`o (honeyeater)","Birds","Endangered","Wherever found"
"Monachus monachus","Mediterranean monk seal","Mammals","Endangered","Wherever found"
"Monachus schauinslandi","Hawaiian monk seal","Mammals","Endangered","Wherever found"
"Montipora australiensis","No common name","Corals","Threatened","Wherever found"
"Morenia ocellata","Burmese peacock turtle","Reptiles","Endangered","Wherever found"
"Moschus spp. (all species)","Musk deer","Mammals","Endangered","Afghanistan, Bhutan, Burma, China (Tibet, Yunnan), India, Nepal, Pakistan, Sikkim"
"Muntiacus feae","Fea's muntjac","Mammals","Endangered","Wherever found"
"Mustela nigripes","Black-footed ferret","Mammals","Endangered","Wherever found, except where listed as an experimental population"
"Mustela nigripes","Black-footed ferret","Mammals","Experimental Population, Non-Essential","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))"
"Myadestes lanaiensis rutha","Molokai thrush","Birds","Endangered","Wherever found"
"Myadestes myadestinus","Large Kauai (=kamao) Thrush","Birds","Endangered","Wherever found"
"Myadestes palmeri","Small Kauai (=puaiohi) Thrush","Birds","Endangered","Wherever found"
"Mycetophyllia ferox","Rough Cactus Coral","Corals","Threatened","Wherever found"
"Mycteria americana","Wood stork","Birds","Threatened","U.S.A. (AL, FL, GA, MS, NC, SC)"
"Myotis grisescens","Gray bat","Mammals","Endangered","Wherever found"
"Myotis septentrionalis","Northern Long-Eared Bat","Mammals","Threatened","Wherever found"
"Myotis sodalis","Indiana bat","Mammals","Endangered","Wherever found"
"Myrmecobius fasciatus","Numbat","Mammals","Endangered","Wherever found"
"Naemorhedus (=Capricornis) sumatraensis","Serow","Mammals","Endangered","Wherever found"
"Naemorhedus goral","Goral","Mammals","Endangered","Wherever found"
"Nasalis concolor","Pagi Island langur","Mammals","Endangered","Wherever found"
"Nasalis larvatus","Proboscis monkey","Mammals","Endangered","Wherever found"
"Nectarinia prigoginei","Marungu sunbird","Birds","Endangered","Wherever found"
"Nectophrynoides spp.","African viviparous toads","Amphibians","Endangered","Wherever found"
"Necturus alabamensis","Black warrior (=Sipsey Fork) Waterdog","Amphibians","Endangered","Wherever found"
"Necturus lewisi","Neuse River waterdog","Amphibians","Threatened","Wherever found"
"Nemosia rourei","Cherry-throated tanager","Birds","Endangered","Wherever found"
"Neofelis nebulosa","Clouded leopard","Mammals","Endangered","Wherever found"
"Neoleptoneta microps","Government Canyon Bat Cave Spider","Arachnids","Endangered","Wherever found"
"Neoleptoneta myopica","Tooth Cave Spider","Arachnids","Endangered","Wherever found"
"Neomorphus geoffroyi dulcis","Southeastern rufous-vented ground cuckoo","Birds","Endangered","Wherever found"
"Neonympha mitchellii francisci","Saint Francis' satyr butterfly","Insects","Endangered","Wherever found"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Insects","Endangered","Wherever found"
"Neophema chrysogaster","Orange-bellied parakeet","Birds","Endangered","Wherever found"
"Neoseps reynoldsi","Sand skink","Reptiles","Threatened","Wherever found"
"Neotoma floridana smalli","Key Largo woodrat","Mammals","Endangered","Wherever found"
"Neotoma fuscipes riparia","Riparian woodrat (=San Joaquin Valley)","Mammals","Endangered","Wherever found"
"Neotragus moschatus moschatus","Zanzibar suni","Mammals","Endangered","Wherever found"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Reptiles","Threatened","Wherever found"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Reptiles","Threatened","Indiana north of 40 degrees north latitude, Michigan, Ohio"
"Nesillas aldabranus","Aldabra Warbler (old world warbler)","Birds","Endangered","Wherever found"
"Newcombia cumingi","Newcomb's Tree snail","Snails","Endangered","Wherever found"
"Nicrophorus americanus","American burying beetle","Insects","Experimental Population, Non-Essential","In southwestern Missouri, the counties of Cedar, St. Clair, Bates, and Vernon."
"Nicrophorus americanus","American burying beetle","Insects","Threatened","Wherever found, except where listed as an experimental population"
"Nipponia nippon","Japanese crested ibis","Birds","Endangered","Wherever found"
"Notomys aquilo","Australian native mouse","Mammals","Endangered","Wherever found"
"Notropis albizonatus","Palezone shiner","Fishes","Endangered","Wherever found"
"Notropis buccula","Smalleye Shiner","Fishes","Endangered","Wherever found"
"Notropis cahabae","Cahaba shiner","Fishes","Endangered","Wherever found"
"Notropis girardi","Arkansas River shiner","Fishes","Threatened","Arkansas River Basin (AR, KS, NM, OK, TX)"
"Notropis mekistocholas","Cape Fear shiner","Fishes","Endangered","Wherever found"
"Notropis oxyrhynchus","Sharpnose Shiner","Fishes","Endangered","Wherever found"
"Notropis simus pecosensis","Pecos bluntnose shiner","Fishes","Threatened","Wherever found"
"Notropis topeka (=tristis)","Topeka shiner","Fishes","Endangered","Wherever found, except where listed as an experimental population"
"Notropis topeka (=tristis)","Topeka shiner","Fishes","Experimental Population, Non-Essential","U.S.A. (MO-specified portions of Little Creek, Big Muddy Creek, and Spring Creek watersheds in Adair, Gentry, Harrison, Putnam, Sullivan, and Worth Counties; see 17.84(d)(1)(i))"
"Noturus baileyi","Smoky madtom","Fishes","Endangered","Wherever found"
"Noturus baileyi","Smoky madtom","Fishes","Experimental Population, Non-Essential","The Tellico River, between the backwaters of the Tellico Reservoir (approximately Tellico River mile 19 (30.4 kilometers) and Tellico River mile 33 (52.8 kilometers), near the Tellico Ranger Station, Monroe County, Tennessee."
"Noturus crypticus","Chucky Madtom","Fishes","Endangered","Wherever found"
"Noturus flavipinnis","Yellowfin madtom","Fishes","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(e)(1)(iii))"
"Noturus flavipinnis","Yellowfin madtom","Fishes","Experimental Population, Non-Essential","U.S.A. (TN-specified portions of the Tellico River; see 17.84(e)(1)(ii))"
"Noturus flavipinnis","Yellowfin madtom","Fishes","Experimental Population, Non-Essential","U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))"
"Noturus flavipinnis","Yellowfin madtom","Fishes","Threatened","Wherever found, except where listed as an experimental population"
"Noturus furiosus","Carolina madtom","Fishes","Endangered","Wherever found"
"Noturus placidus","Neosho madtom","Fishes","Threatened","Wherever found"
"Noturus stanauli","Pygmy madtom","Fishes","Endangered","Wherever found"
"Noturus stanauli","Pygmy madtom","Fishes","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(t)(1)(i))"
"Noturus trautmani","Scioto madtom","Fishes","Endangered","Wherever found"
"Numenius borealis","Eskimo curlew","Birds","Endangered","Wherever found"
"Numenius tenuirostris","Slender-billed curlew","Birds","Endangered","Wherever found"
"Nycticebus pygmaeus","Lesser slow loris","Mammals","Threatened","Wherever found"
"Oarisma poweshiek","Poweshiek skipperling","Insects","Endangered","Wherever found"
"Obovaria retusa","Ring pink (mussel)","Clams","Endangered","Wherever found"
"Obovaria retusa","Ring pink (mussel)","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Oceanodroma castro","Band-rumped storm-petrel","Birds","Endangered","USA (HI)"
"Odocoileus hemionus cerrosensis","Cedros Island mule Deer","Mammals","Endangered","Wherever found"
"Odocoileus virginianus clavium","Key deer","Mammals","Endangered","Wherever found"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Mammals","Threatened","Columbia River (Clark, Cowliz, Pacific, Skamania, and Wahkiakum Counties, WA., and Clatsop, Columbia, and Multnomah Counties, OR.)"
"Odontophorus strophium","Gorgeted wood-quail","Birds","Endangered","Wherever found"
"Oncorhynchus (=Salmo) kisutch","Coho salmon","Fishes","Endangered","Central California Coast ESU - See 50 CFR 224.101"
"Oncorhynchus (=Salmo) kisutch","Coho salmon","Fishes","Threatened","Lower Columbia River ESU - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) kisutch","Coho salmon","Fishes","Threatened","Oregon Coast ESU - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) kisutch","Coho salmon","Fishes","Threatened","Southern Oregon - Northern California Coast ESU - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Endangered","Southern California DPS - See 50 CFR 224.101"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Experimental Population, Non-Essential","Middle Columbia River DPS - XN - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","California Central Valley DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Central California Coast DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Lower Columbia River DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Middle Columbia River DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Northern California DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Puget Sound DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Snake River Basin DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","South-Central California Coast DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Upper Columbia River DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) mykiss","Steelhead","Fishes","Threatened","Upper Willamette River DPS - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) nerka","Sockeye salmon","Fishes","Endangered","Snake River ESU - See 50 CFR 224.101"
"Oncorhynchus (=Salmo) nerka","Sockeye salmon","Fishes","Threatened","Ozette Lake ESU - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Endangered","Sacramento River winter-run ESU - See 50 CFR 224.101"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Endangered","Upper Columbia River spring-run ESU See 50 CFR 224.101"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","California Coastal ESU - See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Central Valley spring-run ESU See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Lower Columbia River ESU See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Puget Sound ESU See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Snake River fall-run ESU See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Snake River spring/summer-run ESU See 50 CFR 223.102"
"Oncorhynchus (=Salmo) tshawytscha","Chinook salmon","Fishes","Threatened","Upper Willamette River ESU See 50 CFR 223.102"
"Oncorhynchus aguabonita whitei","Little Kern golden trout","Fishes","Threatened","Wherever found"
"Oncorhynchus apache","Apache trout","Fishes","Threatened","Wherever found"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Fishes","Threatened","Wherever found"
"Oncorhynchus clarkii seleniris","Paiute cutthroat trout","Fishes","Threatened","Wherever found"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Fishes","Threatened","Wherever found"
"Oncorhynchus gilae","Gila trout","Fishes","Threatened","Wherever found"
"Oncorhynchus keta","Chum salmon","Fishes","Threatened","Columbia River ESU See 50 CFR 223.102"
"Oncorhynchus keta","Chum salmon","Fishes","Threatened","Hood Canal summer-run ESU - See 50 CFR 223.102"
"Onychogalea fraenata","Brindled nail-tailed wallaby","Mammals","Endangered","Wherever found"
"Onychogalea lunata","Crescent nail-tailed wallaby","Mammals","Endangered","Wherever found"
"Orbicella annularis","Lobed Star Coral","Corals","Threatened","Wherever found"
"Orbicella faveolata","Mountainous Star Coral","Corals","Threatened","Wherever found"
"Orbicella franksi","Boulder star coral","Corals","Threatened","Wherever found"
"Orcinus orca","Killer whale","Mammals","Endangered","Southern Resident DPS See 50 CFR 224.101"
"Orconectes shoupi","Nashville crayfish","Crustaceans","Endangered","Wherever found"
"Oreomystis bairdi","Akikiki","Birds","Endangered","Wherever found"
"Oreomystis mana","Hawaii creeper","Birds","Endangered","Wherever found"
"Oreophasis derbianus","Horned guan","Birds","Endangered","Wherever found"
"Orthalicus reses (not incl. nesodryas)","Stock Island tree snail","Snails","Threatened","Wherever found"
"Oryx dammah","Scimitar-horned oryx","Mammals","Endangered","Wherever found"
"Oryx leucoryx","Arabian oryx","Mammals","Endangered","Wherever found"
"Oryzomys palustris natator","Silver rice rat","Mammals","Endangered","Lower FL Keys (west of Seven Mile Bridge)"
"Osteolaemus tetraspis osborni","Congo dwarf crocodile","Reptiles","Endangered","Wherever found"
"Osteolaemus tetraspis tetraspis","African dwarf crocodile","Reptiles","Endangered","Wherever found"
"Ostodes strigatus","Snail [no common name]","Snails","Endangered","Wherever found"
"Otus ireneae","Morden's owlet","Birds","Endangered","Wherever found"
"Otus magicus (=insularis) insularis","Seychelles scops owl","Birds","Endangered","Wherever found"
"Otus rutilus capnodes","Anjouan scops owl","Birds","Endangered","Wherever found"
"Ovis ammon","Argali","Mammals","Endangered","Wherever found except Kyrgyzstan, Mongolia, and Tajikistan"
"Ovis ammon","Argali","Mammals","Threatened","Kyrgyzstan, Mongolia, and Tajikistan"
"Ovis canadensis nelsoni","Peninsular bighorn sheep","Mammals","Endangered","U.S.A. (CA) Peninsular Ranges"
"Ovis canadensis sierrae","Sierra Nevada bighorn sheep","Mammals","Endangered","U.S.A. (CA) Sierra Nevada"
"Ovis musimon ophion","Urial","Mammals","Endangered","Wherever found"
"Ovis vignei vignei","Shapo","Mammals","Endangered","Wherever found"
"Ozotoceros bezoarticus","Pampas deer","Mammals","Endangered","Wherever found"
"Pacifastacus fortis","Shasta crayfish","Crustaceans","Endangered","Wherever found"
"Palaemonetes cummingi","Squirrel Chimney Cave shrimp","Crustaceans","Threatened","Wherever found"
"Palaemonias alabamae","Alabama cave shrimp","Crustaceans","Endangered","Wherever found"
"Palaemonias ganteri","Kentucky cave shrimp","Crustaceans","Endangered","Wherever found"
"Palmeria dolei","crested honeycreeper (Akohekohe)","Birds","Endangered","Wherever found"
"Pan paniscus","Pygmy chimpanzee","Mammals","Endangered","Wherever found"
"Pan troglodytes","Chimpanzee","Mammals","Endangered","Wherever found"
"Pangasianodon gigas","Thailand giant catfish","Fishes","Endangered","Wherever found"
"Pangasius sanitwongsei","Catfish","Fishes","Endangered","Wherever found"
"Panthalops hodgsonii","Tibetan antelope","Mammals","Endangered","Wherever found"
"Panthera leo ssp. leo","Lion","Mammals","Endangered","Wherever found"
"Panthera leo ssp. melanochaita","Lion","Mammals","Threatened","Wherever found"
"Panthera onca","Jaguar","Mammals","Endangered","Wherever found"
"Panthera pardus","Leopard","Mammals","Endangered","Wherever found, except where it is listed as Threatened"
"Panthera pardus","Leopard","Mammals","Threatened","In Africa, in the wild, south of, and including, the following countries: Gabon, Congo, Zaire, Uganda, Kenya"
"Panthera tigris","Tiger","Mammals","Endangered","Wherever found"
"Papasula (=Sula) abbotti","Abbott's booby","Birds","Endangered","Wherever found"
"Papilio chikae","Luzon peacock swallowtail butterfly","Insects","Endangered","Wherever found"
"Papilio homerus","Homerus swallowtail butterfly","Insects","Endangered","Wherever found"
"Papilio hospiton","Corsican swallowtail butterfly","Insects","Endangered","Wherever found"
"Papustyla pulcherrima","Manus Island tree snail","Snails","Endangered","Wherever found"
"Parahyaena (=Hyaena) brunnea","Brown Hyena","Mammals","Endangered","Wherever found"
"Pardofelis (=Felis) marmorata","Marbled cat","Mammals","Endangered","Wherever found"
"Paroreomyza flammea","Molokai creeper","Birds","Endangered","Wherever found"
"Paroreomyza maculata","Oahu creeper","Birds","Endangered","Wherever found"
"Partula gibba","Humped tree snail","Snails","Endangered","Wherever found"
"Partula langfordi","Langford's tree snail","Snails","Endangered","Wherever found"
"Partula radiolata","Guam tree snail","Snails","Endangered","Wherever found"
"Partulina semicarinata","Lanai tree snail","Snails","Endangered","Wherever found"
"Partulina variabilis","Lanai tree snail","Snails","Endangered","Wherever found"
"Pavona diffluens","No common name","Corals","Threatened","Wherever found"
"Pedionomus torquatus","Plains wanderer (=collared-hemipode)","Birds","Endangered","Wherever found"
"Pegias fabula","Littlewing pearlymussel","Clams","Endangered","Wherever found"
"Pekania pennanti","Fisher","Mammals","Endangered","Southern Sierra Nevada Distinct Population Segment"
"Peltophryne lemur","Puerto Rican crested toad","Amphibians","Threatened","Wherever found"
"Penelope albipennis","White-winged guan","Birds","Endangered","Wherever found"
"Penelope perspicax","Cauca guan","Birds","Endangered","Wherever found"
"Pentalagus furnessi","Ryukyu rabbit","Mammals","Endangered","Japan (Ryukyu Islands)"
"Perameles bougainville","Barred bandicoot","Mammals","Endangered","Wherever found"
"Perameles eremiana","Desert bandicoot","Mammals","Endangered","Wherever found"
"Percina antesella","Amber darter","Fishes","Endangered","Wherever found"
"Percina aurolineata","Goldline darter","Fishes","Threatened","Wherever found"
"Percina aurora","Pearl darter","Fishes","Threatened","Wherever found"
"Percina jenkinsi","Conasauga logperch","Fishes","Endangered","Wherever found"
"Percina pantherina","Leopard darter","Fishes","Threatened","Wherever found"
"Percina rex","Roanoke logperch","Fishes","Endangered","Wherever found"
"Percina tanasi","Snail darter","Fishes","Threatened","Wherever found"
"Perognathus longimembris pacificus","Pacific pocket mouse","Mammals","Endangered","Wherever found"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Mammals","Endangered","Wherever found"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Mammals","Endangered","Wherever found"
"Peromyscus polionotus ammobates","Alabama beach mouse","Mammals","Endangered","Wherever found"
"Peromyscus polionotus niveiventris","Southeastern beach mouse","Mammals","Threatened","wherever found"
"Peromyscus polionotus peninsularis","St. Andrew beach mouse","Mammals","Endangered","Wherever found"
"Peromyscus polionotus phasma","Anastasia Island beach mouse","Mammals","Endangered","Wherever found"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Mammals","Endangered","Wherever found"
"Petrogale xanthopus","Yellow-footed rock wallaby","Mammals","Endangered","Wherever found"
"Petroica multicolor multicolor","Scarlet-breasted robin (flycatcher)","Birds","Endangered","Wherever found"
"Petroica traversi","Chatham Island robin","Birds","Endangered","Wherever found"
"Pezoporus wallicus","Ground parrot","Birds","Endangered","Wherever found"
"Phaenicophaeus pyrrhocephalus","Red-faced malkoha (cuckoo)","Birds","Endangered","Wherever found"
"Phaeognathus hubrichti","Red Hills salamander","Amphibians","Threatened","Wherever found"
"Phaethornis malaris margarettae","Margaretta's hermit","Birds","Endangered","Wherever found"
"Pharomachrus mocinno ssp. mocinno","Resplendent quetzel","Birds","Endangered","Wherever found"
"Phascolarctos cinereus","Koala","Mammals","Threatened","Australia"
"Phelsuma edwardnewtoni","Day gecko","Reptiles","Endangered","Wherever found"
"Phelsuma guentheri","Round Island day gecko","Reptiles","Endangered","Wherever found"
"Phoca (=Pusa) hispida botnica","Ringed Seal","Mammals","Threatened","Wherever found"
"Phoca (=Pusa) hispida hispida","Ringed Seal","Mammals","Threatened","Wherever found"
"Phoca (=Pusa) hispida ladogensis","Ringed seal","Mammals","Endangered","Ladoga subspecies"
"Phoca (=Pusa) hispida ochotensis","Ringed Seal","Mammals","Threatened","Okhotsk subspecies"
"Phoca hispida saimensis","Saimaa seal","Mammals","Endangered","Wherever found"
"Phoca largha","Spotted Seal","Mammals","Threatened","Southern DPS - See 50 CFR 223.102"
"Phocoena sinus","Cochito","Mammals","Endangered","Wherever found"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Birds","Endangered","Wherever found"
"Phoenicoparrus andinus","Andean flamingo","Birds","Endangered","Wherever found"
"Phoxinus cumberlandensis","Blackside dace","Fishes","Threatened","Wherever found"
"Phrynops hogei","Brazilian sideneck turtle","Reptiles","Endangered","Wherever found"
"Physa natricina","Snake River physa snail","Snails","Endangered","Wherever found"
"Physeter catodon (=macrocephalus)","Sperm whale","Mammals","Endangered","Wherever found"
"Phytotoma raimondii","Peruvian plantcutter","Birds","Endangered","Wherever found"
"Picathartes gymnocephalus","White-necked rockfowl","Birds","Endangered","Wherever found"
"Picathartes oreas","Grey-necked rockfowl","Birds","Endangered","Wherever found"
"Picoides borealis","Red-cockaded woodpecker","Birds","Endangered","Wherever found"
"Pionopsitta pileata","Red-capped parrot","Birds","Endangered","Wherever found"
"Pipile jacutinga","Black-fronted piping-guan","Birds","Endangered","Wherever found"
"Pipile pipile pipile","Trinidad white-headed curassow","Birds","Endangered","Wherever found"
"Pipilo crissalis eremophilus","Inyo California towhee","Birds","Threatened","Wherever found"
"Pithecophaga jefferyi","Philippine eagle","Birds","Endangered","Wherever found"
"Pitta gurneyi","Gurney's pitta","Birds","Endangered","Wherever found"
"Pitta kochi","Koch's pitta","Birds","Endangered","Wherever found"
"Pituophis melanoleucus lodingi","Black pinesnake","Reptiles","Threatened","Wherever found"
"Pituophis ruthveni","Louisiana pinesnake","Reptiles","Threatened","Wherever found"
"Plagopterus argentissimus","Woundfin","Fishes","Endangered","Wherever found, except where listed as an experimental population"
"Plagopterus argentissimus","Woundfin","Fishes","Experimental Population, Non-Essential","Gila R. drainage, AZ, NM"
"Planigale ingrami subtilissima","Little planigale","Mammals","Endangered","Wherever found"
"Planigale tenuirostris","Southern planigale","Mammals","Endangered","Wherever found"
"Platanista gangetica minor","South Asian River dolphin","Mammals","Endangered","Wherever found"
"Platysteira laticincta","Banded wattle-eye","Birds","Endangered","Wherever found"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Clams","Endangered","Wherever found"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Clams","Endangered","Wherever found"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Plethobasus cyphyus","Sheepnose Mussel","Clams","Endangered","Wherever found"
"Plethodon neomexicanus","Jemez Mountains salamander","Amphibians","Endangered","Wherever found"
"Plethodon nettingi","Cheat Mountain salamander","Amphibians","Threatened","Wherever found"
"Plethodon shenandoah","Shenandoah salamander","Amphibians","Endangered","Wherever found"
"Pleurobema clava","Clubshell","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Pleurobema clava","Clubshell","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Pleurobema collina","James spinymussel","Clams","Endangered","Wherever found"
"Pleurobema curtum","Black clubshell","Clams","Endangered","Wherever found"
"Pleurobema decisum","Southern clubshell","Clams","Endangered","Wherever found"
"Pleurobema furvum","Dark pigtoe","Clams","Endangered","Wherever found"
"Pleurobema georgianum","Southern pigtoe","Clams","Endangered","Wherever found"
"Pleurobema gibberum","Cumberland pigtoe","Clams","Endangered","Wherever found"
"Pleurobema hanleyianum","Georgia pigtoe","Clams","Endangered","Wherever found"
"Pleurobema marshalli","Flat pigtoe","Clams","Endangered","Wherever found"
"Pleurobema perovatum","Ovate clubshell","Clams","Endangered","Wherever found"
"Pleurobema plenum","Rough pigtoe","Clams","Endangered","Wherever found"
"Pleurobema plenum","Rough pigtoe","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Pleurobema pyriforme","Oval pigtoe","Clams","Endangered","Wherever found"
"Pleurobema strodeanum","Fuzzy pigtoe","Clams","Threatened","Wherever found"
"Pleurobema taitianum","Heavy pigtoe","Clams","Endangered","Wherever found"
"Pleurocera foremani","Rough hornsnail","Snails","Endangered","Wherever found"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Clams","Endangered","Wherever found"
"Ploceus golandi","Clarke's weaver","Birds","Endangered","Wherever found"
"Podarcis pityusensis","Ibiza wall lizard","Reptiles","Threatened","Wherever found"
"Podiceps taczanowskii","Junin grebe","Birds","Endangered","Wherever found"
"Podilymbus gigas","Atitlan grebe","Birds","Endangered","Wherever found"
"Podocnemis expansa","Tartaruga","Reptiles","Endangered","Wherever found"
"Podocnemis unifilis","Tracaja","Reptiles","Endangered","Wherever found"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Fishes","Endangered","U.S. Only"
"Poecilotheria fasciata","Sri Lankan Ornamental Tarantula","Arachnids","Endangered","Wherever found"
"Poecilotheria ornata","Fringed Ornamental Tarantula","Arachnids","Endangered","Wherever found"
"Poecilotheria smithi","Kandy Parachute Spider","Arachnids","Endangered","Wherever found"
"Poecilotheria subfusca","Ivory Ornamental Tarantula","Arachnids","Endangered","Wherever found"
"Poecilotheria vittata","Pederseni''s Tiger Spider","Arachnids","Endangered","Wherever found"
"Polioptila californica californica","Coastal California gnatcatcher","Birds","Threatened","Wherever found"
"Polyborus plancus audubonii","Audubon's crested caracara","Birds","Threatened","U.S.A. (FL)"
"Polygyriscus virginianus","Virginia fringed mountain snail","Snails","Endangered","Wherever found"
"Polyphylla barbata","Mount Hermon June beetle","Insects","Endangered","Wherever found"
"Polyplectron emphanum","Palawan peacock pheasant","Birds","Endangered","Wherever found"
"Polysticta stelleri","Steller's Eider","Birds","Threatened","U.S. Alaska breeding population only"
"Pomarea nigra","Tahiti flycatcher","Birds","Endangered","Wherever found"
"Pongo pygmaeus","Orangutan","Mammals","Endangered","Wherever found"
"Popenaias popeii","Texas Hornshell","Clams","Endangered","Wherever found"
"Porites napopora","No common name","Corals","Threatened","Wherever found"
"Potamilus capax","Fat pocketbook","Clams","Endangered","Wherever found"
"Potamilus inflatus","Inflated heelsplitter","Clams","Threatened","Wherever found"
"Presbytis potenziani","Long-tailed langur","Mammals","Threatened","Indonesia"
"Presbytis senex","Purple-faced langur","Mammals","Threatened","Wherever found"
"Prietella phreatophila","Mexican blindcat (catfish)","Fishes","Endangered","Wherever found"
"Priodontes maximus","Giant armadillo","Mammals","Endangered","Wherever found"
"Prionailurus (=Felis) bengalensis bengalensis","Leopard cat","Mammals","Endangered","Wherever found"
