"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Batrachoseps aridus","Desert slender salamander","Amphibians","Endangered","Wherever found"
"Batrisodes texanus","Coffin Cave mold beetle","Insects","Endangered","Wherever found"
"Batrisodes venyivi","Helotes mold beetle","Insects","Endangered","Wherever found"
"Bebrornis rodericanus","Rodrigues warbler (old world warbler)","Birds","Endangered","Wherever found"
"Bebrornis sechellensis","Seychelles warbler (old world warbler)","Birds","Endangered","Wherever found"
"Bettongia gaimardi","Gaimard's rat-kangaroo","Mammals","Endangered","Wherever found"
"Bettongia lesueur","Lesueur's rat-kangaroo","Mammals","Endangered","Wherever found"
"Bettongia penicillata","Brush-tailed rat-kangaroo","Mammals","Endangered","Wherever found"
"Bettongia tropica","Queensland rat-kangaroo","Mammals","Endangered","Wherever found"
"Bison bison athabascae","Wood Bison","Mammals","Threatened","Wherever found"
"Blastocerus dichotomus","Marsh deer","Mammals","Endangered","Wherever found"
"Boloria acrocnema","Uncompahgre fritillary butterfly","Insects","Endangered","Wherever found"
"Bolyeria multocarinata","Round Island bolyeria boa","Reptiles","Endangered","Wherever found"
"Bombus affinis","Rusty patched bumble bee","Insects","Endangered","Wherever found"
"Bombus franklini","Franklin's bumblebee","Insects","Endangered","Wherever found"
"Bos gaurus","Seledang","Mammals","Endangered","Wherever found"
"Bos javanicus","Banteng","Mammals","Endangered","Wherever found"
"Bos mutus (=grunniens m.)","Wild yak","Mammals","Endangered","Wherever found"
"Bos sauveli","Kouprey","Mammals","Endangered","Wherever found"
"Brachylagus idahoensis","Columbia Basin Pygmy Rabbit","Mammals","Endangered","U.S.A. (WA-Douglas, Grant, Lincoln, Adams, Benton Counties)"
"Brachylophus fasciatus","Fiji banded iguana","Reptiles","Endangered","Wherever found"
"Brachylophus vitiensis","Fiji crested iguana","Reptiles","Endangered","Wherever found"
"Brachyramphus marmoratus","Marbled murrelet","Birds","Threatened","U.S.A. (CA, OR, WA)"
"Brachyteles arachnoides","Woolly spider monkey","Mammals","Endangered","Wherever found"
"Bradypus torquatus","Brazilian three-toed sloth","Mammals","Endangered","Wherever found"
"Branchinecta conservatio","Conservancy fairy shrimp","Crustaceans","Endangered","Wherever found"
"Branchinecta longiantenna","Longhorn fairy shrimp","Crustaceans","Endangered","Wherever found"
"Branchinecta lynchi","Vernal pool fairy shrimp","Crustaceans","Threatened","Wherever found"
"Branchinecta sandiegonensis","San Diego fairy shrimp","Crustaceans","Endangered","Wherever found"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Birds","Threatened","Wherever found"
"Brychius hungerfordi","Hungerford's crawling water Beetle","Insects","Endangered","Wherever found"
"Bubalus depressicornis","Lowland anoa","Mammals","Endangered","Wherever found"
"Bubalus mindorensis","Tamaraw","Mammals","Endangered","Wherever found"
"Bubalus quarlesi","Mountain anoa","Mammals","Endangered","Wherever found"
"Buceros (=Rhinoplax) vigil","Helmeted hornbill","Birds","Endangered","Wherever found"
"Bufo hemiophrys baxteri","Wyoming Toad","Amphibians","Endangered","Wherever found"
"Bufo houstonensis","Houston toad","Amphibians","Endangered","Wherever found"
"Bufo periglenes","Monte Verde golden toad","Amphibians","Endangered","Wherever found"
"Bufo superciliaris","Cameroon toad","Amphibians","Endangered","Wherever found"
"Burramys parvus","Mountain pygmy possum","Mammals","Endangered","Wherever found"
"Buteo galapagoensis","Galapagos hawk","Birds","Endangered","Wherever found"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","Birds","Endangered","Wherever found"
"Cacajao spp.","Uakari (all species)","Mammals","Endangered","Wherever found"
"Cacatua alba","White cockatoo","Birds","Threatened","Wherever found"
"Cacatua haematuropygia","Philippine cockatoo","Birds","Endangered","Wherever found"
"Cacatua moluccensis","Salmon-crested cockatoo","Birds","Threatened","Wherever found"
